id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
T16,1,1,0.18,0.05,0.21,0.08,0.04,0.07,0.16,0.14,0.07,0.22,0.15,0.08,0.07,0.22,0.5,0.17,0.06,0.19,0.06,0.04,0.06,0.16,0.08,0.15,0.11,0.12,0.14,0.11,0.11,0.12,0.09,0.09,0.06,0.23,0.2,0.12,0.32,1,0,0.19,0.07,0.12,0.05,0.2,0.25,0.17,0.24,0.09,0.03,0.27,0.21,0.11,0.17,0.14,0.13,0.17,0.16,0.16,0.42,0.07,0.19,0.27,0.07,0.19,0.09,0.26,0.24,0.26,0.15,0.15,1,0.1,0.09,0.14,1,0.12,0.1,0.04,0.08,0.23,0.07,0.03,0.43,0.07,0.29,0.08,0.67,0.28,0.45,0.07,0.07,0.11,0.38,0.12,0.3,0.13,0.15,0.2,0.09,0.05,0.05,0.12,0.08,0.18,0.07,0.19,0.27,0.08,0.14,0.05,0.05,0.06,0.15,0,0.04,0.03,0.05,0.09,0.07,0.11,0.06,0.12,0.17,0.16,0.05,0.07,0.08,0.21,0.09,0.09,0.12,0.1,0.13,0.08,0.05,0.14,0.19,0.06,0.12,0.02,0.12,0.08,0.11,0.16
T17,1,0.1,0.2,0.21,1,1,0.22,0.05,0.23,0.21,0.06,0.48,0.16,0.11,0.15,0.05,0.04,0.39,0.08,0.17,0.13,0.05,0.09,0.09,0.05,0.18,0.13,0.08,0.11,0.38,0.1,0.09,0.29,0.29,0.06,0.14,0.67,0.1,1,1,0.02,0.14,0.13,0.29,0.18,0.46,0.25,0.09,0.28,0.13,0.05,0.1,0.21,0.07,0.36,0.06,0.07,0.07,0.4,0.81,1,0.16,0.08,0.18,0.09,0.07,0.07,0.22,0.2,0.31,0.1,0.11,1,0.19,0.08,0.07,1,0.08,0.12,0.08,0.14,0.31,0.09,0.19,0.19,0.32,0.53,0.29,1,0.21,0.18,0.15,0.08,0.17,1,0.08,0.13,0.35,0.18,0.5,0.18,0.06,0.04,0.36,0.1,0.08,0.05,0.18,0.68,0.04,0.11,0.16,0.11,0.02,0.07,0.02,0,0.09,0.18,0.1,0.1,0.29,0.13,0.29,0.16,0.36,0.09,0.08,0.35,0.72,0.09,0.17,0.29,0.24,0.04,1,0.05,0.36,0.02,0.03,0.23,0.11,0.23,0.13,0.33,0.18
T18,1,0.42,0.19,0.1,0.14,0.09,0.09,0.07,0.18,0.2,0.16,0.16,0.12,0.06,0.05,0.13,0.3,0.1,0.12,0.11,0.11,0.04,0.14,0.16,0.04,0.11,0.02,0.08,0.12,0.14,0.06,0.16,0.15,0.15,0.06,0.12,0.31,0.05,0.19,0.59,0.02,0.17,0.08,0.2,0.1,0.13,0.13,0.1,0.74,0.11,0.07,0.28,0.07,0.16,0.26,0.28,0.17,0.14,0.12,0.22,0.34,0.11,0.84,0.43,0.12,1,0.07,0.31,0.27,0.36,0.27,0.15,0.29,0.32,0.07,0.2,0.05,0.09,0.22,0.06,0.06,0.14,0.09,0.09,0.19,0.17,0.76,0.08,0.89,0.04,0.09,0.1,0.15,0.1,0.23,0.06,0.59,0.24,0.17,0.18,0.11,0.04,0.11,0.17,0.06,0.24,0.03,0.15,0.16,0.08,0.12,0.12,0.05,0.06,0.18,0.02,0.09,0,0.06,0.07,0.12,0.21,0.07,0.2,0.08,0.14,0.04,0.07,0.14,0.15,0.07,0.09,0.18,0.07,0.36,0.05,0.05,0.14,0.42,0.05,0.17,0.07,0.17,0.17,0.07,0.27
T19,1,0.04,0.15,0.04,0.27,0.1,0.07,0.06,0.18,0.14,0.26,0.17,0.23,0.06,0.06,0.07,0.39,0.15,0.09,0.15,0.1,0.07,0.03,0.07,0.04,0.23,0.05,0.06,0.11,0.12,0.26,0.14,0.13,0.13,0.07,0.2,0.17,0.15,0.2,0.04,0.02,0.38,0.09,0.1,0.03,0.19,0.11,0.13,0.24,0.09,0.03,0.12,0.13,0.07,0.16,0.13,0.1,0.14,0.46,0.11,0.24,0.03,0.52,0.14,0.07,0.12,0.08,0.18,0.24,0.33,0.38,0.06,0.03,0.23,0.11,0.1,0.15,0.07,0.09,0.08,0.08,0.34,0.02,0.04,0.26,0.05,0.81,0.09,0.26,0.1,0.22,0.07,0.11,0.15,0.14,0.02,0.94,0.16,0.09,0.25,0.13,0.08,0.06,0.1,0.02,0.18,0.08,0.14,0.25,0.07,0.11,0.07,0.04,0.08,0.19,0.02,0.11,0.03,0,0.05,0.09,0.06,0.07,0.1,0.08,0.25,0.03,0.04,0.07,0.08,0.05,0.08,0.1,0.09,0.06,0.06,0.04,0.09,0.23,0.05,0.23,0.05,0.08,0.14,0.05,0.13
T20,1,0.03,0.56,0.07,0.45,0.23,0.3,0.11,0.16,0.16,0.19,0.2,0.09,0.07,0.05,1,0.4,0.4,0.08,0.08,0.12,0.13,0.03,0.12,0.07,0.15,0.12,0.04,0.08,0.11,0.12,0.43,0.22,0.22,0.02,0.11,0.22,0.15,0.08,0.06,0.04,0.04,0.2,0.12,0.04,0.35,0.15,0.24,0.36,0.12,0.07,0.11,0.14,0.22,0.16,0.03,0.15,0.35,0.22,0.2,0.32,0.06,0.12,0.33,0.16,0.32,0.13,0.16,0.35,0.22,0.37,0.15,0.06,0.23,0.23,0.11,0.28,0.13,0.13,0.2,0.08,0.21,0.05,0.12,0.08,0.08,0.3,1,0.08,0.18,0.12,0.15,0.1,0.04,0.15,0.38,0.4,0.12,0.22,1,0.15,0.1,0.16,0.22,0.06,0.11,0.1,0.17,0.2,0.14,0.08,0.11,0.1,0.08,0.18,0.04,0.09,0.06,0.07,0,0.12,0.12,0.12,0.14,0.1,0.13,0.06,0.08,0.1,0.28,0.08,0.05,0.14,0.14,0.05,0.16,0.1,0.15,0.25,0.05,0.15,0.04,0.12,0.29,0.04,0.2
T21,1,0.17,0.11,0.04,0.15,0.07,0.1,0.05,0.21,0.12,0.06,0.14,0.09,0.03,0.06,0.13,0.33,0.37,0.11,0.15,0.13,0.06,0.04,0.06,0.05,0.16,0.07,0.18,0.09,0.16,0.15,0.16,0.12,0.12,0.05,0.14,0.12,0.05,0.17,0.15,0.02,0.3,0.1,0.3,0.05,0.21,0.09,0.08,0.31,0.07,0.05,0.26,0.14,0.11,0.1,0.06,0.09,0.26,0.18,0.21,0.14,0.1,0.2,0.34,0.07,0.16,0.03,0.3,0.49,0.36,0.09,0.15,0.06,0.33,0.09,0.09,0.22,0.17,0.17,0.16,0.07,0.17,0.04,0.13,0.32,0.05,0.79,0.12,0.34,0.11,0.25,0.1,0.07,0.09,0.16,0.14,0.73,0.35,0.14,0.24,0.25,0.06,0.13,0.15,0.04,0.06,0.06,0.22,0.33,0.08,0.09,0.08,0.08,0.07,0.1,0.02,0.05,0.06,0.07,0.07,0,0.22,0.06,0.13,0.1,0.28,0.05,0.11,0.17,0.19,0.15,0.05,0.14,0.1,0.24,0.1,0.08,0.26,0.14,0.04,0.17,0.06,0.09,0.1,0.12,0.1
T22,1,0.02,0.21,0.15,0.19,0.08,0.08,0.1,0.23,0.07,0.05,0.15,0.12,0.07,0.09,0.13,0.08,0.36,0.17,0.29,0.09,0.07,0.08,0.19,0.19,0.13,0.39,0,0.13,0.13,0.22,0.08,0.24,0.24,0.05,0.12,0.22,0,0.28,0.07,0.03,0.25,0.09,0.14,0.02,0.26,0.1,0.06,0.03,0.13,0.04,0.1,0.37,0.2,0.11,0.08,0.07,0.16,0.05,0.06,0.36,0.04,0.08,0.27,0.04,0.1,0.1,0.22,0.11,0.17,0.07,0.14,0.01,0.12,0.04,0.05,0.05,0.1,0.13,0.08,0.09,0.14,0.06,0.04,0.11,0.07,0.21,0.05,0.04,0.13,0.1,0.03,0.05,0.05,0.02,0.08,0.26,0.06,0.1,0.07,0.1,0.06,0.16,0.51,0.06,0.2,0.09,0.29,0.12,0.13,0.13,0.05,0.06,0.18,0.26,0.03,0.13,0.1,0.04,0.06,0.22,0,0.09,0.14,0.08,0.13,0.04,0.16,0.06,0.19,0.17,0.11,0.08,0.09,0.03,0.1,0.06,0.13,0.19,0.05,0.16,0.04,0.21,0.11,0.04,0.25
T23,1,0.14,1,0.04,0.22,0.06,0.07,0.06,0.13,0.09,0.12,0.13,0.1,0.09,0.15,0.11,0.16,0.2,0.15,0.16,0.12,0.19,0.07,0.12,0.16,0.26,0.05,0.2,0.27,0.14,0.08,0.16,0.08,0.08,0.08,0.13,0.21,0.12,0.26,0.24,0.02,0.28,0.06,0.12,0.03,0.23,0.1,0.16,0.16,0.08,0.07,0.27,0.16,0.08,0.3,0.16,0.39,0.15,0.39,0.14,0.31,0.13,0.4,0.34,0.17,0.59,0.08,0.25,0.25,0.19,0.13,0.11,0.08,0.2,0.06,0.1,0.22,0.09,0.1,0.09,0.04,0.21,0.05,0.07,0.1,0.15,0.52,0.19,0.2,0.11,0.16,0.08,0.66,0.13,0.28,0.13,0.45,0.67,0.11,0.27,0.19,0.07,0.07,0.09,0.14,0.23,0.05,0.23,0.41,0.17,0.27,0.06,0.08,0.16,0.18,0.02,0.07,0.04,0.06,0.08,0.07,0.11,0,0.19,0.09,0.13,0.05,0.1,0.29,0.17,0.06,0.1,0.09,0.08,0.06,0.1,0.06,0.12,0.36,0.05,0.15,0.04,0.12,0.12,0.07,0.17
T24,1,0.08,0.22,0.05,0.17,0.1,0.11,0.06,0.18,0.05,0.09,0.11,0.12,0.03,0.06,0.07,0.36,0.29,0.2,0.38,0.06,0.1,0.1,0.07,0.07,0.19,0.1,0.1,0.15,0.19,0.12,0.09,0.07,0.07,0.06,0.2,0.26,0.09,0.22,0.08,0.02,0.25,0.06,0.17,0.03,0.15,0.11,0.11,0.23,0.07,0.04,0.07,0.21,0.14,0.13,0.17,0.11,0.19,0.14,0.07,0.32,0.06,0.15,0.23,0.12,0.24,0.15,0.21,0.3,0.19,0.13,0.12,0.06,0.15,0.08,0.04,0.3,0.15,0.1,0.14,0.04,0.22,0.06,0.05,0.12,0.09,0.24,0.15,0.18,0.24,0.1,0.06,0.13,0.11,0.17,0.11,0.09,0.16,0.09,0.42,0.14,0.13,0.14,0.13,0.05,0.28,0.17,0.35,0.18,0.16,0.15,0.09,0.08,0.1,0.18,0.02,0.1,0.07,0.06,0.06,0.1,0.11,0.12,0,0.06,0.1,0.09,0.08,0.11,0.17,0.12,0.1,0.13,0.07,0.11,0.07,0.13,0.1,0.16,0.02,0.2,0.03,0.07,0.1,0.06,0.15
T25,1,0.04,0.24,0.05,0.16,0.21,0.11,0.1,0.22,0.09,0.1,0.13,0.18,0.11,0.04,0.08,0.17,0.13,0.21,0.41,0.06,0.1,1,0.15,0.05,0.15,0.05,1,0.1,0.12,0.11,0.09,0.12,0.12,0.1,0.28,0.22,0.06,0.24,0.01,0.07,0.15,0.08,0.23,0.05,0.1,0.08,0.2,0.12,0.11,0.05,0.14,0.13,0.2,0.27,0.12,0.13,0.12,0.13,0.07,0.25,0.07,0.21,0.35,0.51,0.17,0.09,0.18,0.11,0.14,0.16,0.31,0,0.12,0.04,0.07,0.11,0.22,0.09,0.35,0.07,0.17,0.09,0.07,0.12,0.12,0.22,0.1,0.07,0.12,0.07,0.05,0.11,0.08,0.06,0.09,0.09,0.11,0.08,0.39,0.11,0.2,0.08,0.17,0.03,0.13,0.06,0.21,0.13,0.05,0.1,0.13,0.07,0.1,0.29,0.07,0.13,0.07,0.11,0.1,0.16,0.14,0.13,0.13,0,0.1,0.05,0.14,0.1,0.18,0.1,0.12,0.06,0.14,0.12,0.05,0.06,0.13,0.28,0.06,0.15,0.04,0.11,0.11,0.17,0.23
T26,1,0.03,0.35,0.03,0.18,0.05,0.06,0.21,0.15,0.11,0.1,0.11,0.1,0.07,0.09,0.08,0.22,0.2,0.2,0.09,0.06,0.16,0.31,0.11,0.17,0.14,0.04,0.18,0.11,0.2,0.13,0.08,0.08,0.08,0.04,0.1,0.24,0.12,0.21,0.04,0.03,0.22,0.09,0.17,0.03,0.05,0.11,0.11,0.15,0.09,0.04,0.14,0.14,0.09,0.16,0.17,0.07,0.09,0.06,0.04,0.32,0.08,0.32,0.09,0.14,0.22,0.07,0.13,0.16,0.11,0.23,0.1,0.05,0.14,0.05,0.05,0.06,0.08,0.1,0.15,0.05,0.1,0.07,0.05,0.09,0.09,0.2,0.14,0.14,0.1,0.11,0.09,0.11,0.06,0.09,0.1,0.18,0.15,0.11,0.22,0.16,0.11,0.07,0.13,0.08,0.21,0.08,0.22,0.15,0.2,0.11,0.09,0.15,0.14,0.19,0.03,0.14,0.05,0.15,0.06,0.22,0.11,0.09,0.11,0.05,0,0.06,0.04,0.17,0.12,0.19,0.04,0.08,0.12,0.14,0.06,0.1,0.13,0.29,0.03,0.12,0.03,0.14,0.16,0.1,0.18
T27,1,0.08,0.33,0.06,0.27,0.08,0.07,0.06,0.24,0.18,0.13,0.18,0.21,0.05,0.12,0.15,0.28,0.18,0.2,0.07,0.08,0.07,0.06,0.14,0.04,0.42,0.05,0.12,0.05,0.19,0.13,0.15,0.11,0.11,0.07,0.13,0.14,0.09,0.28,1,0.02,0.34,0.09,0.07,0.05,0.23,0.11,0.24,0.14,0.09,0.05,0.22,0.39,0.07,0.26,0.22,0.18,0.19,0.17,0.07,0.44,0.03,0.26,0.43,0.04,0.37,0.35,0.43,0.3,0.24,0.3,0.33,0.13,0.4,0.05,0.28,0.15,0.12,0.36,0.14,0.09,0.07,0.07,0.05,0.15,0.74,0.82,0.09,0.3,0.08,0.49,0.02,0.1,0.1,0.16,0.13,0.44,0.11,0.12,0.15,0.05,0.05,0.11,0.14,0.04,0.13,0.04,0.2,0.19,0.04,0.05,0.08,0.04,0.08,0.26,0.02,0.08,0.04,0.04,0.07,0.08,0.09,0.08,0.21,0.06,0.13,0,0.04,0.07,0.11,0.07,0.11,0.14,0.1,0.14,0.07,0.05,0.18,0.27,0.07,0.14,0.07,0.15,0.24,0.14,0.33
T28,1,0.42,0.78,0.07,0.13,0.12,0.09,0.08,0.26,0.17,0.37,0.47,1,0.03,0.06,0.14,0.67,0.11,0.29,0.08,0.15,0.08,0.07,0.06,0.08,0.27,0.05,0.25,0.07,0.63,0.2,0.09,0.15,0.15,0.13,0.08,0.19,0.11,0.25,0.15,0.03,0.16,0.08,0.23,0.06,0.13,0.07,0.1,0.22,0.2,0.03,0.14,0.17,0.19,0.12,0.25,0.06,0.16,0.48,0.11,0.17,0.04,0.06,0.21,0.04,0.38,0.16,0.28,0.35,0.25,0.43,0.08,0.02,0.21,0.03,0.12,0.04,0.09,0.11,0.1,0.11,0.22,0.1,0.09,0.12,0.14,0.88,0.1,0.26,0.08,0.25,0.05,0.07,0.17,0.02,0.05,0.16,0.14,0.11,0.14,0.06,0.04,0.04,0.05,0.01,0.3,0.08,0.09,0.22,0.08,0.07,0.11,0.1,0.09,0.19,0.03,0.07,0.06,0.05,0.08,0.2,0.3,0.15,0.19,0.15,0.1,0.04,0,0.07,0.12,0.36,0.08,0.16,0.15,0.04,0.07,0.1,0.13,0.11,0.04,0.07,0.06,0.07,0.16,0.1,0.21
T29,1,0.04,0.26,0.06,0.55,0.14,0.19,0.2,0.32,0.26,0.08,0.46,0.11,0.06,0.08,0.17,0.29,0.15,0.2,0.38,0.14,0.08,0.11,0.2,0.16,0.08,0.05,0.1,0.18,0.18,0.16,0.1,0.21,0.21,0.09,0.05,0.05,0.12,0.17,0.17,0.03,0.14,0.19,0.67,0.12,0.15,0.18,0.28,0.27,0.32,0.03,0.14,0.47,0.09,0.13,0.1,0.06,0.08,0.26,0.08,0.47,0.06,0.1,0.53,0.07,0.79,0.48,0.35,0.43,0.43,0.09,0.13,0.35,0.12,0.17,0.07,1,0.28,0.14,0.27,0.16,0.9,0.13,0.11,0.25,0.03,0.28,0.09,0.22,1,0.5,0.01,0.11,0.08,0.03,0.09,0.06,0.29,0.08,0.2,0.16,0.06,0.15,0.19,0.05,0.33,0.18,0.32,0.35,0.07,0.18,0.08,0.07,0.13,0.55,0.03,0.27,0.11,0.08,0.09,0.27,0.09,0.4,0.24,0.1,0.35,0.06,0.07,0,0.06,0.09,0.11,0.13,0.11,0,0.04,0.08,0.09,0.42,0.2,0.25,0.12,0.32,0.36,0.09,0.08
T30,1,0.04,0.09,0.04,0.21,0.15,0.05,0.08,0.28,0.12,0.08,0.24,0.27,0.1,0.09,0.08,0.01,0.14,0.18,0.05,0.07,0.07,0.13,0.14,0.06,0.11,0.03,0.09,0.1,0.17,0.17,0.08,0.11,0.11,0.06,0.08,0.11,0.08,0.13,0.13,0.04,0.37,0.07,0.18,0.05,0.2,0.06,0.1,0.14,0.13,0.02,0.13,0.19,0.05,0.12,0.08,0.08,0.04,0.26,0.08,0.32,0.05,0.23,0.19,0.05,0.43,0.08,0.24,0.18,0.28,0.04,0.13,0.07,0.14,0.04,0.09,0.15,0.07,0.07,0.07,0.05,0.32,0.04,0.08,0.09,0.04,0.39,0.1,0.3,0.17,0.14,0.07,0.07,0.07,0.15,0.05,0.3,0.26,0.1,0.15,0.05,0.07,0.07,0.04,0.02,0.14,0.07,0.27,0.15,0.04,0.1,0.06,0.07,0.12,0.28,0.04,0.22,0.05,0.04,0.1,0.12,0.13,0.09,0.15,0.07,0.1,0.04,0.04,0.03,0,0.07,0.08,0.07,0.14,0.06,0.04,0.07,0.08,0.2,0.07,0.09,0.07,0.09,0.13,0.12,0.23
T31,1,0.12,0.37,0.07,0,0.15,0.1,0.03,0.39,0.22,0.07,0.14,0.11,0.06,0.09,0.07,0.22,0.18,0.48,0.5,0.11,0.29,0.1,0.09,0.16,0.25,0.04,0.12,0.23,0.23,0.11,0.23,0.19,0.19,0.08,0.17,0.16,0.12,1,0.12,0.04,0.38,0.13,0.39,0.14,0.02,0.1,0.66,0.2,0.21,0.04,0.06,0.23,0.07,0.14,0.17,0.11,0.15,0.07,0.18,0.27,0.1,0.71,0.56,0.1,0.21,0.15,0.27,0.6,0.38,0.24,0.2,0.25,0.34,0.08,0.18,1,0.13,0.22,0.08,0.13,0.17,0.1,0.08,0.4,0.04,0.27,0.07,0.26,0.05,0.08,0.07,1,0.06,0.76,0.29,0.29,0.71,0.28,0.2,0.15,0.05,0.13,0.12,0.06,0.14,0.07,0.28,0.3,0.22,0.23,0.15,0.37,0.21,0.49,0.04,0.07,0.06,0.07,0.08,0.27,0.32,0.09,0.28,0.11,0.43,0.07,0.36,0.09,0.2,0,0.1,0.18,0.13,0.24,0.07,0.09,0.13,0.57,0.07,0.12,0.07,0.18,0.22,0.12,0.26
T32,1,0.07,0.19,0.06,0.35,0.14,0.08,0.08,0.11,0.1,0.77,0.18,0.1,0.07,0.1,0.13,0.38,0.2,0.05,0.23,0.17,0.09,0.81,0.07,0.13,0.24,0.08,0.17,0.08,0.17,0.31,0.2,0.13,0.13,0.07,0.12,0.19,0.04,0.1,0.05,0.03,0.42,0.08,0.15,0.06,0.13,0.08,0.15,0.18,0.19,0.03,0.12,0.15,0.13,0.08,0.1,0.08,0.23,0.1,0.1,0.14,0.08,0.06,0.25,0.07,0.47,0.07,0.23,0.12,0.21,0.17,0.11,0.05,0.13,0.13,0.04,0.15,0.14,0.1,0.13,0.06,0.09,0.07,0.1,0.94,0.06,0.29,0.06,0.3,0.16,0.11,0.05,0.13,0.13,0.15,0.19,0.16,0.12,0.18,0.38,0.08,0.09,0.1,0.09,0.05,0.11,0.06,0.15,0.16,0.14,0.08,0.07,0.11,0.06,0.12,0.03,0.11,0.06,0.09,0.04,0.07,0.15,0.12,0.18,0.1,0.06,0.08,0.06,0.09,0.17,0.08,0,0.06,0.1,0.06,0.05,0.05,0.12,0.14,0.03,0.11,0.04,0.1,0.13,0.07,0.11
T33,1,0.04,0.26,0.06,0.38,0.07,0.05,0.12,0.21,0.12,0.17,0.26,0.23,0.09,0.07,0.07,0.04,0.12,0.08,0.36,0.1,0.18,0.11,0.17,0.11,0.33,0.11,0.27,0.21,0.15,0.18,0.13,0.15,0.15,0.07,0.38,0.1,0.22,0.11,0.08,0.03,0.55,0.11,0.17,0.07,0.24,0.09,0.1,0.12,0.26,0.04,0.17,0.07,0.09,0.06,0.08,0.07,0.06,0.09,0.06,0.14,0.05,0.2,0.17,0.09,0.24,0.06,0.29,0.2,0.26,0.31,0.02,0.07,0.11,0.11,0.04,0.07,0.2,0.23,0.13,0.05,0.13,0.1,0.09,0.26,0.07,0.13,0.19,0.15,0.12,0.14,0.05,0.14,0.07,0.13,0.06,0.29,0.22,0.11,0.88,0.14,0.21,0.07,0.14,0.04,0.21,0.1,0.17,0.27,0.27,0.21,0.06,0.08,0.08,0.4,0.03,0.12,0.08,0.07,0.07,0.13,0.07,0.07,0.15,0.03,0.09,0.07,0.08,0.07,0.09,0.09,0.04,0,0.11,0.04,0.03,0.09,0.06,0.12,0.07,0.09,0.03,0.13,0.14,0.11,0.19
T34,1,0.12,0.3,0.05,0.15,0.09,0.12,0.08,0.26,0.08,0.09,0.07,0.08,0.07,0.11,0.37,0.32,0.33,0.18,0.18,0.09,0.11,0.11,0.09,0.21,0.2,0.06,0.09,0.13,0.15,0.11,0.08,0.11,0.11,0.06,0.14,0.13,0.07,0.13,0.24,0.02,0.6,0.06,0.21,0.08,0.16,0.19,0.36,0.15,0.09,0.06,0.13,0.24,0.09,0.09,0.18,0.08,0.11,0.05,0.06,0.43,0.07,0.05,0.5,0.2,0.34,0.08,0.19,0.18,0.24,0.12,0.18,0.04,0.19,0.12,0.03,0.26,0.15,0.11,0.1,0.07,0.29,0.05,0.06,0.11,0.22,0.32,0.09,0.08,0.11,0.13,0.03,0.23,0.06,0.41,0.1,0.12,0.1,0.09,0.41,0.16,0.08,0.09,0.12,0.04,0.21,0.04,0.22,0.19,0.13,0.13,0.07,0.08,0.22,0.17,0.02,0.11,0.03,0.07,0.08,0.1,0.09,0.06,0.09,0.08,0.15,0.05,0.08,0.07,0.21,0.07,0.07,0.12,0,0.14,0.04,0.06,0.11,0.18,0.04,0.11,0.04,0.09,0.12,0.06,0.17
T35,1,0.02,0.17,0.22,0.31,0.04,0.14,0.3,0.37,0.29,0.14,0.69,1,0.28,0.1,0.09,0.16,1,0.16,1,0.5,1,0.14,0.12,0.57,0.16,0.25,1,0,0.2,0.35,0.44,0.27,0.27,0.13,0.62,0.25,1,0.33,0.07,0.07,1,0.29,0.15,0.07,1,0.02,0.08,0.25,0.38,0.08,0.19,0.33,0.15,0.17,0.05,0.06,0.1,0.26,0.24,0.13,0.07,0.16,0.96,0.14,0.12,0.43,0.62,0.36,0.58,0.17,0.31,0.03,0.28,0.07,0.11,0.15,1,0.2,0.1,0.08,0.24,0.08,0.08,0.94,0.19,0.29,1,0.3,0.2,0.19,0.04,1,0.05,0.03,1,0.12,0.09,0.22,0.18,0.12,0.09,0.25,0.11,0.34,0.41,0.06,0.3,0.45,0.3,0,0.07,0.05,0.07,0.56,0.07,0.04,0.35,0.09,0.05,0.48,0.07,0.1,0.3,0.15,0.35,0.15,0.05,0,0.2,0.27,0.09,0.1,0.3,0,0.07,0.08,0.22,0.22,0.06,0.66,0.11,0.32,0.47,0.01,0.83
T36,1,0.04,0.26,0.06,0.27,0.1,0.08,0.13,0.44,0.14,0.18,0.22,0.1,0.08,0.28,0.07,1,0.2,0.21,0.03,0.16,0.22,0.31,0.16,0.23,0.29,0.03,0.67,0.19,0.59,0.44,0.04,0.24,0.24,0.12,0.1,0.11,0.06,0.11,0.07,0.04,0.22,0.26,0.56,0.07,0.36,0.24,0.12,0.21,0.17,0.1,0.24,0.17,0.11,0.22,0.06,0.09,0.08,0.11,0.13,0.43,0.06,1,0.19,0.07,1,0.04,0.36,0.47,0.51,0.24,0.22,0.33,0.14,0.17,0.08,0.41,0.61,0.33,0.18,0.1,0.23,0.21,0.1,0.17,0.09,0.49,0.1,1,0.3,0.07,0.06,0.18,0.05,0.15,0.14,0.13,0.12,0.11,0.17,0.24,0.05,0.04,0.17,0.06,0.23,0.07,0.17,0.2,0.14,0.19,0.06,0.14,0.23,0.2,0.04,1,0.05,0.09,0.19,0.21,0.22,0.18,0.19,0.06,0.16,0.08,0.08,0.05,0.14,0.09,0.08,0.07,0.09,0.07,0,0.05,0.15,0.11,0.09,0.13,0.09,0.21,0.23,0.09,0.17
T37,1,0.02,0.25,0.06,0.02,0.13,0.06,0.08,0.2,0.1,0.07,0.21,0.16,0.1,0.08,0.1,0.16,0.12,0.09,0.25,0.1,0.07,0.1,0.06,0.43,0.12,0.07,0.12,0.13,0.14,0.14,0.15,0.19,0.19,0.03,0.1,0.17,0.19,1,0.06,0.02,0.64,0.05,0.17,0.1,0.37,0.14,0.07,0.16,0.08,0.04,0.08,0.04,0.05,0.18,0.19,0.13,0.13,0.18,0.24,0.34,0.06,0.13,0.25,0.03,0.07,0.14,0.23,0.07,0.48,0.17,0.08,0.05,0.12,0.1,0.12,0.56,0.14,0.05,0.07,0.16,0.15,0.06,0.06,0.56,0.09,0.14,0.07,0.21,0.32,0.17,0.04,0.06,0.06,0.08,0.12,0.2,0.15,0.18,0.09,0.05,0.03,0.07,0.09,0.06,0.1,0.04,0.17,0.17,0.04,0.13,0.05,0.06,0.1,0.19,0.02,0.04,0.03,0.05,0.08,0.11,0.09,0.07,0.26,0.05,0.17,0.04,0.08,0.07,0.16,0.07,0.06,0.15,0.09,0.06,0.03,0,0.11,0.14,0.06,0.08,0.02,0.13,0.1,0.07,0.14
T38,1,0.15,0.2,0.09,0.13,0.24,0.09,0.05,0.26,0.1,0.12,0.16,0.12,0.12,0.05,0.11,0.1,0.16,0.08,0.19,0.09,0.05,0.09,0.08,0.22,0.48,0.12,1,0.22,0.07,0.13,0.1,0.12,0.12,0.05,0.08,0.19,0.16,0.17,0.13,0.03,0.32,0.07,0.19,0.04,0.16,0.1,0.11,0.1,0.14,0.04,0.14,0.19,0.15,0.07,0.09,0.1,0.06,0.04,0.05,0.16,0.05,0.06,0.15,0.05,0.37,0.12,0.18,0.25,0.19,0.17,0.12,0.08,0.1,0.07,0.04,0.35,0.17,0.13,0.16,0.06,0.16,0.1,0.07,0.08,0.14,0.18,0.09,0.04,0.2,0.1,0.05,0.09,0.08,0.12,0.09,0.4,0.1,0.07,0.18,0.15,0.08,0.09,0.07,0.05,0.12,0.06,0.27,0.18,0.1,0.22,0.08,0.06,0.11,0.25,0.03,0.13,0.05,0.05,0.06,0.2,0.1,0.08,0.1,0.06,0.12,0.07,0.06,0.04,0.09,0.05,0.07,0.05,0.08,0.08,0.05,0.06,0,0.18,0.04,0.18,0.04,0.1,0.11,0.08,0.09
