@RELATION doneJJ_TF_MIX

@ATTRIBUTE filename {F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F3,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F4,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F5,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F6,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F7,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F8,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F9,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T2,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T3,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T4,T40,T41,T42,T43,T44,T45,T46,T5,T6,T7,T8,T9}
@ATTRIBUTE label {0,1}
@ATTRIBUTE col1 REAL
@ATTRIBUTE col2 REAL
@ATTRIBUTE col3 REAL
@ATTRIBUTE col4 REAL
@ATTRIBUTE col5 REAL
@ATTRIBUTE col6 REAL
@ATTRIBUTE col7 REAL
@ATTRIBUTE col8 REAL
@ATTRIBUTE col9 REAL
@ATTRIBUTE col10 REAL
@ATTRIBUTE col11 REAL
@ATTRIBUTE col12 REAL
@ATTRIBUTE col13 REAL
@ATTRIBUTE col14 REAL
@ATTRIBUTE col15 REAL
@ATTRIBUTE col16 REAL
@ATTRIBUTE col17 REAL
@ATTRIBUTE col18 REAL
@ATTRIBUTE col19 REAL
@ATTRIBUTE col20 REAL
@ATTRIBUTE col21 REAL
@ATTRIBUTE col22 REAL
@ATTRIBUTE col23 REAL
@ATTRIBUTE col24 REAL
@ATTRIBUTE col25 REAL
@ATTRIBUTE col26 REAL
@ATTRIBUTE col27 REAL
@ATTRIBUTE col28 REAL
@ATTRIBUTE col29 REAL
@ATTRIBUTE col30 REAL
@ATTRIBUTE col31 REAL
@ATTRIBUTE col32 REAL
@ATTRIBUTE col33 REAL
@ATTRIBUTE col34 REAL
@ATTRIBUTE col35 REAL
@ATTRIBUTE col36 REAL
@ATTRIBUTE col37 REAL
@ATTRIBUTE col38 REAL
@ATTRIBUTE col39 REAL
@ATTRIBUTE col40 REAL
@ATTRIBUTE col41 REAL
@ATTRIBUTE col42 REAL
@ATTRIBUTE col43 REAL
@ATTRIBUTE col44 REAL
@ATTRIBUTE col45 REAL
@ATTRIBUTE col46 REAL
@ATTRIBUTE col47 REAL
@ATTRIBUTE col48 REAL
@ATTRIBUTE col49 REAL
@ATTRIBUTE col50 REAL
@ATTRIBUTE col51 REAL
@ATTRIBUTE col52 REAL
@ATTRIBUTE col53 REAL
@ATTRIBUTE col54 REAL
@ATTRIBUTE col55 REAL
@ATTRIBUTE col56 REAL
@ATTRIBUTE col57 REAL
@ATTRIBUTE col58 REAL
@ATTRIBUTE col59 REAL
@ATTRIBUTE col60 REAL
@ATTRIBUTE col61 REAL
@ATTRIBUTE col62 REAL
@ATTRIBUTE col63 REAL
@ATTRIBUTE col64 REAL
@ATTRIBUTE col65 REAL
@ATTRIBUTE col66 REAL
@ATTRIBUTE col67 REAL
@ATTRIBUTE col68 REAL
@ATTRIBUTE col69 REAL
@ATTRIBUTE col70 REAL
@ATTRIBUTE col71 REAL
@ATTRIBUTE col72 REAL
@ATTRIBUTE col73 REAL
@ATTRIBUTE col74 REAL
@ATTRIBUTE col75 REAL
@ATTRIBUTE col76 REAL
@ATTRIBUTE col77 REAL
@ATTRIBUTE col78 REAL
@ATTRIBUTE col79 REAL
@ATTRIBUTE col80 REAL
@ATTRIBUTE col81 REAL
@ATTRIBUTE col82 REAL
@ATTRIBUTE col83 REAL
@ATTRIBUTE col84 REAL
@ATTRIBUTE col85 REAL
@ATTRIBUTE col86 REAL
@ATTRIBUTE col87 REAL
@ATTRIBUTE col88 REAL
@ATTRIBUTE col89 REAL
@ATTRIBUTE col90 REAL
@ATTRIBUTE col91 REAL
@ATTRIBUTE col92 REAL
@ATTRIBUTE col93 REAL
@ATTRIBUTE col94 REAL
@ATTRIBUTE col95 REAL
@ATTRIBUTE col96 REAL
@ATTRIBUTE col97 REAL
@ATTRIBUTE col98 REAL
@ATTRIBUTE col99 REAL
@ATTRIBUTE col100 REAL
@ATTRIBUTE col101 REAL
@ATTRIBUTE col102 REAL
@ATTRIBUTE col103 REAL
@ATTRIBUTE col104 REAL
@ATTRIBUTE col105 REAL
@ATTRIBUTE col106 REAL
@ATTRIBUTE col107 REAL
@ATTRIBUTE col108 REAL
@ATTRIBUTE col109 REAL
@ATTRIBUTE col110 REAL
@ATTRIBUTE col111 REAL
@ATTRIBUTE col112 REAL
@ATTRIBUTE col113 REAL
@ATTRIBUTE col114 REAL
@ATTRIBUTE col115 REAL
@ATTRIBUTE col116 REAL
@ATTRIBUTE col117 REAL
@ATTRIBUTE col118 REAL
@ATTRIBUTE col119 REAL
@ATTRIBUTE col120 REAL
@ATTRIBUTE col121 REAL
@ATTRIBUTE col122 REAL
@ATTRIBUTE col123 REAL
@ATTRIBUTE col124 REAL
@ATTRIBUTE col125 REAL
@ATTRIBUTE col126 REAL
@ATTRIBUTE col127 REAL
@ATTRIBUTE col128 REAL
@ATTRIBUTE col129 REAL
@ATTRIBUTE col130 REAL
@ATTRIBUTE col131 REAL
@ATTRIBUTE col132 REAL
@ATTRIBUTE col133 REAL
@ATTRIBUTE col134 REAL
@ATTRIBUTE col135 REAL
@ATTRIBUTE col136 REAL
@ATTRIBUTE col137 REAL
@ATTRIBUTE col138 REAL
@ATTRIBUTE col139 REAL
@ATTRIBUTE col140 REAL
@ATTRIBUTE col141 REAL
@ATTRIBUTE col142 REAL
@ATTRIBUTE col143 REAL
@ATTRIBUTE col144 REAL
@ATTRIBUTE col145 REAL

@DATA
T7,1,0.86,0.45,0.17,0.07,0.03,0.06,0.22,0.18,0.2,0.43,0.4,0.17,0.2,0.13,0.14,0.05,1,0.12,0.09,0.3,0.53,0.07,0.03,0.08,0.05,0.14,0.06,0.07,0.54,0.14,0.1,0.46,0.46,0.37,0.35,0.4,0.09,0.03,0.19,0.19,0.12,0.15,0.12,0.21,0.11,0.13,0.17,0.12,0.15,0.03,0.67,0.15,0.09,0.03,0.16,0.11,0.08,0.09,0.25,0.15,0.12,0.12,0.15,0.17,1,0.42,0.19,0.06,0.16,0.16,0.22,0.05,0.04,0.14,0.13,0.03,0.06,0.09,0.23,0.09,0.16,0.19,0.12,0.24,0.09,0.14,0.08,0.09,0.09,0.04,0.17,0.31,0.13,0.08,0.33,0.08,0.17,0.07,0.15,0.09,0.13,0.34,0.51,0.06,0.07,0,0.08,0.18,0.08,0.07,0.12,0.15,0.05,0.15,0.19,0.11,0.07,0.04,0.1,0.21,0.04,0.15,0.14,0.2,0.11,0.04,0.03,0.06,0.08,0.06,0.11,0.06,0.09,0.12,0.08,0.11,0.05,0.23,0.18,0.06,0.21,0.16,0.02,0.21,0.11
T8,1,0.16,0.38,0.24,1,0.16,0.09,0.23,0.05,0.31,0.49,0.13,0.5,0.21,0.26,0.33,0.24,0.04,0.08,0.14,0.14,0.44,0.18,0.05,0.24,0.04,0.11,0.26,0.07,0.09,0.35,0.25,0.29,0.29,0.29,0.44,0.35,0.17,0.06,0.09,0.17,0,0.15,0.09,0.22,0.1,0.57,0.66,0.53,0.09,0.06,0.07,0.22,0.78,0.08,0.59,0.27,0.05,0.97,0.97,0.39,0.19,0.12,0.21,0.13,0.49,0.26,0.16,0.09,0.31,0.1,0.55,0.17,0.13,1,0.08,0.19,0.12,0.2,0.29,0.04,0.12,0.14,0.2,0.22,0.17,0.08,0.09,0.13,0.28,0.19,1,0.13,0.48,0.09,0.06,0.17,0.83,0.07,0.09,0.07,0.23,0.23,0.09,0.03,0.06,0.11,0,0.11,0.07,0.07,0.12,0.16,0.07,0.1,0.17,0.12,0.27,0.05,0.12,0.23,0.08,0.13,0.36,0.18,0.31,0.07,0.05,0.1,0.04,0.08,0.12,0.05,0.13,0.79,0.22,0.11,0.1,0.21,0.42,0.08,0.21,0.17,0.03,0.12,0.21
T9,1,0.14,0.13,0.08,0.19,0.13,0.11,0.29,0.32,0.28,0.48,0.12,0.44,0.33,0.66,0.07,0.18,0.05,0.13,0.21,0.16,0.27,0.16,0.1,0.22,0.05,0.13,0.05,0.05,0.03,0.17,0.2,0.29,0.29,0.3,0.04,0.22,0.09,0.05,0.34,0.18,0.04,0.18,0.25,0.83,0.05,0.19,0.31,0.07,0.09,0.1,0.12,0.17,0.13,0.11,0.04,0.24,0.24,0.27,0.11,0.07,0.05,0.33,0.31,0.21,0.09,0.27,0.07,0.07,0.1,0.04,0.3,0.19,0.07,0.06,0.17,0.05,0.06,0.23,0.31,0.07,0.14,1,0.43,0.13,0.16,0.11,0.08,0.06,0.06,0.06,0.07,0.09,0.15,0.15,0.25,0.04,0.07,0.13,0.09,0.03,0.2,0.26,0.03,0.03,0.13,0.24,0.11,0,0.19,0.05,0.17,0.12,0.04,0.15,0.18,0.14,0.04,0.08,0.26,0.29,0.09,0.22,0.15,0.35,0.15,0.03,0.13,0.15,0.1,1,0.09,0.09,0.11,0.13,0.15,0.41,0.12,0.05,0.06,0.23,0.24,0.36,0.04,0.11,0.2
T10,1,0.26,0.49,0.15,0.11,0.09,0.08,0.25,0.69,0.29,0.96,0.3,0.25,0.25,0.3,0.16,0.07,0.05,0.07,0.1,0.16,0.28,0.12,0.04,0.1,0.05,0.8,1,0.11,0.08,0.33,0.15,0.32,0.32,0.34,1,0.38,0.1,0.09,0.22,0.15,0.23,0.37,0.09,0.19,0.11,0.17,0.05,0.37,0.16,0.08,0.21,0.22,0.24,0.15,0.48,0.25,0.1,0.21,0.39,0.2,0.1,0.06,0.2,0.24,1,0.16,0.12,0.09,0.24,0.32,0.46,0.2,0.07,0.37,0.12,0.18,0.11,0.24,0.16,0.08,0.05,0.13,0.45,0.26,0.07,0.09,0.11,0.11,0.16,0.12,0.27,0.17,0.23,0.32,0.08,0.09,0.1,0.07,0.13,0.05,1,0.07,1,0.02,0.08,0.06,0.04,0.1,0,0.11,0.17,0.23,0.11,0.05,0.15,0.15,0.24,0.06,0.11,0.28,0.08,0.16,0.24,0.47,0.22,0.06,0.04,0.08,0.07,0.1,0.07,0.09,0.09,0.19,0.11,0.05,0.05,0.05,0.44,0.06,0.36,0.24,0.03,0.02,0.09
T11,1,0.16,0.23,0.08,0.06,0.05,0.1,0.13,0.15,0.09,0.22,0.11,0.11,0.13,0.07,0.05,0.12,0.06,0.17,0.08,0.09,0.21,0.09,0.02,0.09,0.07,0.13,0.12,0,0.05,0.1,0.14,0.13,0.13,0.17,0.07,0.14,0.07,0.1,0.09,0.12,0.06,0.06,0.14,0.11,0.12,0.06,0.15,0.08,0.06,0.04,0.11,0.16,0.14,0.14,0.07,0.09,0.04,0.12,0.12,0.12,0.25,0.11,0.16,0.08,0.38,0.13,0.09,0.03,0.08,0.07,0.09,0.04,0.06,0.05,0.05,0.1,0.04,0.07,0.16,0.06,0.13,0.19,0.1,0.12,0.04,0.09,0.03,0.1,0.06,0.04,0.16,0.1,0.07,0.11,0.11,0.05,0.05,0.03,0.05,0.08,0.34,0.15,0.02,0.04,0.07,0.05,0.04,0.03,0.11,0,0.1,0.09,0.03,0.09,0.12,0.13,0.1,0.04,0.11,0.26,0.05,0.1,0.09,0.12,0.08,0.04,0.06,0.12,0.14,0.09,0.06,0.05,0.08,0.14,0.13,0.1,0.06,0.12,0.12,0.05,0.13,0.16,0.01,0.2,0.08
T12,1,0.13,0.43,0.11,0.09,0.06,0.05,0.18,0.09,0.17,0.29,0.18,0.38,0.12,0.09,0.06,0.06,0.08,0.08,0.05,0.31,0.46,0.16,0.06,0.11,0.07,0.59,0.06,0.08,0.22,0.18,0.1,0.42,0.42,0.13,0.11,0.2,0.19,0.2,0.16,0.11,0.2,0.13,0.12,0.52,0.15,0.22,0.26,0.21,0.1,0.09,0.11,0.21,0.24,0.16,0.06,0.26,0.03,0.11,0.21,0.53,0.2,0.07,0.25,0.11,0.12,0.09,0.42,0.12,0.21,0.14,0.27,0.19,0.09,0.15,0.12,0.16,0.04,0.22,0.18,0.14,0.14,0.23,0.14,0.11,0.04,0.1,0.09,0.19,0.12,0.08,0.14,0.11,0.2,0.12,0.07,0.53,0.24,0.02,0.04,0.27,0.41,0.26,1,0.04,0.05,0.08,0.06,0.08,0.16,0.08,0,0.09,0.01,0.08,0.11,0.14,0.08,0.04,0.14,0.39,0.06,0.11,0.21,0.18,0.11,0.02,0.08,0.04,0.06,0.03,0.05,0.06,0.1,0.07,0.13,0.1,0.08,0.11,0.18,0.07,0.1,0.18,0.03,0.2,0.06
T13,1,0.21,0.19,0.13,0.07,0.05,0.09,0.12,0.31,0.17,0.15,0.26,0.13,0.31,0.12,0.08,0.1,0.12,0.26,0.18,0.15,0.4,0.07,0.04,0.1,1,0.53,0.11,0.09,0.08,0.12,0.09,0.18,0.18,0.15,0.05,0.13,0.11,0.06,0.13,0.12,0.16,0.08,0.08,0.18,0.12,0.15,0.35,0.11,0.08,0.09,0.24,0.18,0.1,0.12,0.08,0.1,0.08,0.13,0.06,0.14,0.22,0.1,0.39,0.13,0.4,0.09,0.14,0.07,0.12,0.09,0.11,0.16,0.07,0.04,0.06,0.47,0.04,0.1,0.14,0.04,0.16,0.29,0.31,0.17,0.08,0.09,0.07,0.43,0.13,0.06,0.12,0.14,0.06,0.12,0.15,0.15,0.14,0.03,0.07,0.05,0.22,0.18,0.18,0.03,0.07,0.12,0.09,0.07,0.25,0.09,0.11,0,0.05,0.1,0.12,0.17,0.13,0.09,0.07,0.32,0.05,0.11,0.21,0.18,0.14,0.07,0.03,0.14,0.11,0.06,0.07,0.09,0.12,0.29,0.24,0.09,0.12,0.11,0.24,0.08,0.15,0.17,0.02,0.04,0.08
T14,1,0.33,0.18,0.04,0.05,0.05,0.08,0.18,0.22,0.22,0.35,0.15,0.26,0.13,0.19,0.1,0.04,0.13,0.07,0.08,0.09,0.15,0.1,0.08,0.05,0.05,0.2,0.13,0.07,0.19,0.18,0.15,0.35,0.35,0.18,0.06,0.34,0.03,0.07,0.1,0.12,0.1,0.14,0.1,0.16,0.18,0.18,0.19,0.21,0.14,0.08,0.07,0.27,0.28,0.15,0.09,0.19,0.09,0.17,0.12,0.24,0.08,1,0.1,0.06,1,0.11,0.17,0.08,0.09,0.11,0.1,0.05,0.05,0.14,0.08,0.08,0.12,0.24,0.2,0.1,0.09,0.19,0.2,0.06,0.04,0.15,0.13,0.14,0.12,0.05,0.11,0.04,0.1,0.24,1,0.12,0.12,0.04,0.04,0.04,0.13,0.34,0.08,0.04,0.04,0.08,0.08,0.05,0.25,0.07,0.03,0.1,0,0.09,0.12,0.07,0.02,0.06,0.15,0.3,0.05,0.1,0.16,0.16,0.11,0.04,0.05,0.1,0.18,0.04,0.17,0.03,0.07,0.03,0.12,0.11,0.06,0.13,0.08,0.09,0.12,0.19,0.03,0.09,0.04
T15,1,0.25,0.14,0.07,0.07,0.03,0.03,0.13,0.09,0.12,0.18,0.14,0.23,0.13,0.11,0.09,0.09,0.05,0.03,0.04,0.12,0.23,0.08,0.02,0.04,0.03,0.29,0.14,0.08,0.03,0.09,0.1,0.18,0.18,0.15,0.14,0.11,0.09,0.06,0.11,0.1,0.33,0.1,0.1,0.1,0.09,0.08,0.15,0.12,0.04,0.06,0.11,0.14,0.14,0.06,0.08,0.1,0.04,0.07,0.18,0.15,0.12,0.13,0.18,0.09,1,0.09,0.07,0.03,0.11,0.08,0.09,0.13,0.04,0.03,0.06,0.06,0.05,0.11,0.14,0.05,0.22,0.09,0.12,0.1,0.04,0.1,0.06,0.12,0.05,0.09,0.1,0.07,0.12,0.19,0.09,0.04,0.14,0.02,0.02,0.05,0.1,0.18,0.02,0.03,0.05,0.1,0.04,0.07,0.05,0.08,0.08,0.08,0.03,0,0.1,0.09,0.09,0.07,0.07,0.28,0.04,0.09,0.12,0.14,0.14,0.04,0.06,0.07,0.1,0.05,0.05,0.05,0.07,0.13,0.12,0.07,0.09,0.07,0.05,0.04,0.09,0.14,0.02,0.13,0.04
T16,1,0.55,0.12,0.11,0.06,0.04,0.03,0.16,0.08,0.1,0.27,0.21,0.14,0.17,0.11,0.06,0.05,0.08,0.04,0.1,0.1,0.22,0.05,0.03,0.07,0.06,0.09,0.11,0.07,0.07,0.1,0.07,0.13,0.13,0.19,0.12,0.15,0.11,0.14,0.14,0,0.12,0.05,0.05,0.09,0.15,0.1,0.32,0.08,0.06,0.05,0.1,0.1,0.14,0.1,0.06,0.11,0.05,0.09,0.09,0.39,0.16,0.16,0.13,0.09,0.05,0.1,0.06,0.02,0.09,0.1,0.14,0.07,0.04,0.06,0.06,0.09,0.08,0.11,0.1,0.06,0.09,0.14,0.06,0.13,0.05,0.08,0.06,0.04,0.07,0.14,0.13,0.05,0.05,0.04,0.15,0.04,0.07,0.03,0.05,0.05,0.11,0.17,0.07,0.02,0.04,0.08,0.05,0.06,0.09,0.07,0.08,0.07,0.03,0.07,0,0.09,0.07,0.03,0.11,0.15,0.05,0.07,0.12,0.13,0.08,0.03,0.04,0.08,0.05,0.06,0.05,0.05,0.04,0.13,0.13,0.08,0.05,0.08,0.2,0.05,0.09,0.13,0.01,0.15,0.05
T17,1,0.45,0.2,0.1,0.07,0.04,0.08,0.17,0.2,0.12,0.16,0.13,0.15,0.22,0.16,0.07,0.03,0.14,0.07,0.07,0.09,0.2,0.07,0.03,0.05,0.02,0.1,0.05,0.08,0.08,0.08,0.11,0.17,0.17,0.12,0.06,0.1,0.1,0.09,0.14,0.1,0.07,0.08,0.06,0.13,0.16,0.07,0.18,0.15,0.06,0.04,0.08,0.12,0.21,0.05,0.05,0.12,0.12,0.09,0.11,0.22,0.09,0.12,0.13,0.03,0.23,0.16,0.09,0.04,0.12,0.11,0.08,0.1,0.04,0.03,0.09,0.05,0.12,0.12,0.12,0.07,0.08,0.19,0.12,0.11,0.03,0.11,0.08,0.05,0.09,0.04,0.05,0.06,0.09,0.07,0.14,0.07,0.06,0.04,0.04,0.08,0.15,0.18,0.08,0.03,0.05,0.05,0.04,0.05,0.1,0.08,0.1,0.1,0.02,0.06,0.1,0,0.19,0.02,0.09,0.14,0.05,0.09,0.13,0.23,0.14,0.02,0.05,0.13,0.16,0.07,0.06,0.04,0.06,0.1,0.08,0.07,0.05,0.1,0.07,0.06,0.11,0.14,0.03,0.14,0.06
T18,1,0.05,0.68,0.34,0.27,0.45,0.08,0.27,0.35,0.41,0.68,0.69,0.55,0.27,0.16,0.08,0.1,0.08,0.05,0.25,0.3,0.62,0.09,0.12,0.08,0.09,0.42,0.08,0.23,0.08,0.38,0.32,1,1,0.51,1,0.65,0.17,0.05,0.08,0.27,1,0.56,0.3,0.52,0.09,0.89,0.37,0.31,0.18,0.09,0.14,1,0.2,0.07,0.39,0.13,1,0.49,0.34,0.17,0.47,0.33,0.17,0.21,0.1,1,0.89,0.04,0.16,0.64,1,0.11,0.25,0.31,1,0.22,0.48,0.26,0.11,0.47,1,0.18,0.53,1,1,0.08,0.15,0.05,0.58,0.03,1,1,0.17,0.58,0.27,0.09,0.23,0.06,0.18,0.26,0.16,0.15,0.43,0.28,0.14,0.13,0.32,0.05,0.58,0.23,0.21,0.27,0.02,0.26,0.27,0.73,0,0.16,0.38,0.08,0.09,0.12,0.38,0.41,0.37,0.19,0.13,0.06,0.12,0.08,0.08,0.08,0.02,0.19,0.11,0.06,0.08,0.16,0.43,0.12,0.24,0.32,0.05,0.21,0.08
T19,1,0.53,0.18,0.08,0.09,0.07,0.06,0.2,0.14,0.18,0.27,0.25,0.25,0.14,0.14,0.05,0.39,0.09,0.07,0.13,0.15,0.61,0.09,0.02,0.06,0.05,0.1,0.15,0.07,0.11,0.13,0.08,0.25,0.25,0.27,0.25,0.23,0.16,0.11,0.24,0.08,0.23,0.09,0.11,0.1,0.08,0.08,0.25,0.22,0.08,0.05,0.13,0.23,0.12,0.09,0.09,0.16,0.07,0.13,0.2,0.08,0.12,0.07,0.17,0.12,0.14,0.24,0.13,0.06,0.11,0.1,0.16,0.06,0.06,0.09,0.11,0.12,0.04,0.12,0.14,0.08,0.1,0.13,0.17,0.12,0.04,0.07,0.09,0.07,0.18,0.07,0.64,0.1,0.1,0.15,0.1,0.09,0.1,0.05,0.08,0.06,0.24,0.26,0.3,0.04,0.04,0.05,0.04,0.06,0.09,0.07,0.07,0.13,0.04,0.12,0.08,0.06,0.11,0,0.14,0.24,0.03,0.11,0.15,0.2,0.14,0.03,0.06,0.06,0.06,0.06,0.11,0.03,0.05,0.1,0.13,0.07,0.04,0.12,0.19,0.09,0.2,0.11,0.02,0.07,0.08
T20,1,0.11,0.14,0.09,0.07,0.03,0.05,0.14,0.17,0.11,0.16,0.14,0.16,0.07,0.06,0.07,0.03,0.09,0.07,0.06,0.11,0.15,0.07,0.02,0.16,0.05,0.2,0.06,0.07,0.04,0.08,0.05,0.13,0.13,0.12,0.04,0.13,0.06,0.06,0.14,0.12,0.27,0.06,0.06,0.07,0.17,0.07,0.14,0.08,0.06,0.04,0.07,0.07,0.1,0.06,0.06,0.07,0.03,0.11,0.07,0.1,0.12,0.07,0.22,0.12,0.24,0.13,0.08,0.03,0.09,0.06,0.1,0.06,0.04,0.08,0.05,0.08,0.1,0.09,0.12,0.05,0.09,0.11,0.09,0.09,0.04,0.06,0.05,0.06,0.04,0.07,0.06,0.09,0.05,0.06,0.08,0.06,0.07,0.02,0.03,0.07,0.04,0.13,0.1,0.02,0.04,0.05,0.04,0.09,0.08,0.07,0.11,0.05,0.05,0.05,0.12,0.1,0.11,0.06,0,0.23,0.03,0.06,0.07,0.1,0.06,0.05,0.03,0.08,0.05,0.05,0.03,0.03,0.08,0.08,0.08,0.08,0.05,0.09,0.07,0.03,0.1,0.13,0.01,0.19,0.03
T21,1,0.24,0.28,0.2,0.08,0.04,0.07,0.22,0.23,0.19,0.21,0.19,0.15,0.13,0.22,0.05,0.06,0.09,0.06,0.17,0.08,0.22,0.02,0.03,0.05,0.04,0.12,0.06,0.11,0.08,0.08,0.06,0.15,0.15,0.23,0.09,0.19,0.18,0.05,0.22,0.11,0.08,0.11,0.09,0.12,0.09,0.18,0.23,0.11,0.06,0.05,0.19,0.14,0.1,0.04,0.28,0.07,0.11,0.06,0.09,0.17,0.21,0.1,0.28,0.11,0.08,0.15,0.1,0.03,0.08,0.05,0.23,0.14,0.04,0.16,0.14,0.1,0.06,0.14,0.1,0.11,0.16,0.1,0.09,0.27,0.08,0.13,0.09,0.07,0.23,0.07,0.42,0.11,0.06,0.19,0.1,0.1,0.05,0.04,0.05,0.11,0.28,0.55,0.11,0.05,0.09,0.06,0.05,0.06,0.12,0.11,0.18,0.12,0.05,0.14,0.11,0.09,0.01,0.07,0.14,0,0.02,0.06,0.13,0.12,0.17,0.03,0.06,0.1,0.06,0.04,0.06,0.11,0.03,0.3,0.09,0.03,0.09,0.19,0.25,0.09,0.16,0.1,0.02,0.13,0.13
T22,1,0.62,0.34,0.19,0.05,0.03,0.23,0.12,0.19,0.11,0.16,0.19,0.08,0.07,0.19,0.11,0.06,0.06,0.11,0.05,0.13,0.22,0.11,0.03,0.17,0.25,0.15,0.08,0.11,0.08,0.09,0.04,0.23,0.23,0.21,0.12,0.13,0.79,0.07,0.4,0.2,0.9,0.16,0.25,0.12,0.05,0.07,0.12,0.14,0.08,0.09,0.12,0.2,0.19,0.04,0.1,0.14,0.05,0.18,0.08,0.1,0.33,0.4,0.28,0.06,0.25,0.04,0.3,0.05,0.09,0.08,0.14,0.11,0.05,0.13,0.15,0.12,0.03,0.13,0.08,0.12,0.12,0.23,0.12,0.03,0.03,0.18,0.08,0.08,0.16,0.05,0.19,0.09,0.08,0.26,0.06,0.09,0.12,0.03,0.03,0.1,0.12,0.28,0.36,0.05,0.06,0.06,0.1,0.11,0.19,0.11,0.15,0.11,0.05,0.1,0.2,0.18,0.09,0.04,0.11,0.11,0,0.11,0.07,0.08,0.11,0.01,0.1,0.09,0.18,0.03,0.09,0.05,0.07,0.06,0.14,0.12,0.07,0.25,0.12,0.08,0.14,0.16,0.02,0.25,0.09
T23,1,0.2,0.17,0.1,0.05,0.07,0.16,0.1,0.13,0.1,0.15,0.25,0.19,0.13,0.11,0.11,0.06,0.08,0.06,0.08,0.08,0.26,0.06,0.02,0.11,0.08,0.16,0.07,0.1,0.11,0.08,0.14,0.15,0.15,0.2,0.37,0.23,0.18,0.06,0.34,0.11,0.1,0.06,0.1,0.07,0.08,0.16,0.17,0.21,0.06,0.07,0.08,0.19,0.21,0.08,0.16,0.2,0.04,0.07,0.14,0.32,0.15,0.1,0.17,0.08,0.12,0.08,0.16,0.05,0.17,0.1,0.22,0.15,0.08,0.19,0.07,0.16,0.29,0.12,0.13,0.11,0.08,0.15,0.12,0.1,0.03,0.14,0.07,0.36,0.22,0.07,0.22,0.1,0.11,0.78,0.06,0.08,0.1,0.04,0.04,0.12,0.07,0.28,0.14,0.05,0.05,0.11,0.07,0.11,0.15,0.1,0.12,0.1,0.04,0.1,0.11,0.13,0.05,0.07,0.09,0.15,0.04,0,0.1,0.1,0.09,0.03,0.05,0.08,0.12,0.04,0.06,0.05,0.05,0.13,0.09,0.07,0.07,0.08,0.07,0.06,0.11,0.14,0.02,0.08,0.08
T24,1,0.15,0.13,0.1,0.04,0.03,0.19,0.13,0.19,0.09,0.16,0.09,0.08,0.09,0.09,0.05,0.08,0.14,0.11,0.05,0.08,0.23,0.04,0.02,0.18,0.1,0.13,0.05,0.05,0.06,0.06,0.08,0.12,0.12,0.14,0.09,0.12,0.15,0.12,0.16,0.12,0.12,0.05,0.13,0.06,0.11,0.11,0.19,0.12,0.04,0.06,0.08,0.08,0.13,0.06,0.09,0.07,0.03,0.08,0.04,0.12,0.06,0.15,0.24,0.08,0.21,0.09,0.15,0.03,0.08,0.08,0.15,0.06,0.06,0.07,0.09,0.13,0.13,0.11,0.11,0.05,0.13,0.22,0.1,0.08,0.03,0.09,0.06,0.08,0.08,0.05,0.09,0.08,0.1,0.12,0.09,0.07,0.12,0.03,0.07,0.1,0.06,0.11,0.07,0.05,0.09,0.06,0.11,0.05,0.14,0.05,0.14,0.11,0.04,0.08,0.12,0.12,0.09,0.05,0.06,0.18,0.02,0.06,0,0.08,0.05,0.03,0.07,0.1,0.07,0.07,0.05,0.04,0.04,0.08,0.11,0.11,0.07,0.1,0.08,0.09,0.08,0.1,0.01,0.14,0.1
T25,1,0.18,0.21,0.09,0.08,0.06,0.11,0.22,0.14,0.18,0.16,0.11,0.17,0.15,0.11,0.28,0.06,0.16,0.11,0.14,0.12,0.41,0.14,0.04,0.25,0.19,0.19,0.13,0.09,0.31,0.1,0.19,0.13,0.13,0.32,0.22,0.27,0.17,0.18,0.27,0.16,0.14,0.07,0.3,0.09,0.08,0.21,0.17,0.16,0.04,0.08,0.23,0.19,0.39,0.09,0.14,0.23,0.03,0.15,0.15,0.26,0.34,0.23,0.32,0.12,0.15,0.06,0.47,0.04,0.09,0.1,0.25,0.12,0.17,0.13,0.06,0.11,0.12,0.23,0.08,0.06,0.09,0.12,0.12,0.18,0.04,0.18,0.11,0.35,0.22,0.02,0.2,0.11,0.25,0.45,0.08,0.1,0.29,0.04,0.06,0.12,0.27,0.57,0.1,0.07,0.07,0.12,0.07,0.15,0.37,0.09,0.16,0.13,0.05,0.13,0.16,0.29,0.14,0.1,0.11,0.22,0.03,0.08,0.11,0,0.07,0.04,0.05,0.13,0.09,0.09,0.05,0.07,0.09,0.13,0.24,0.1,0.08,0.21,0.23,0.11,0.14,0.12,0.02,0.14,0.05
